event_id,service,environment,region,observed_at,latency_ms,error_count,timeout_count,traffic_rpm,cpu_percent,memory_percent,label,severity,incident_id
checkout_00000,checkout,production,us-east-1,2026-03-02T00:00:00+00:00,184.59,1,0,1355.56,50.15,57.41,0,,
checkout_00001,checkout,production,us-east-1,2026-03-02T00:01:00+00:00,156.5,0,0,1306.77,44.74,62.0,0,,
checkout_00002,checkout,production,us-east-1,2026-03-02T00:02:00+00:00,190.92,2,0,1501.92,46.89,62.1,0,,
checkout_00003,checkout,production,us-east-1,2026-03-02T00:03:00+00:00,202.62,1,0,1403.89,40.78,57.81,0,,
checkout_00004,checkout,production,us-east-1,2026-03-02T00:04:00+00:00,172.4,0,0,1441.2,49.0,57.63,0,,
checkout_00005,checkout,production,us-east-1,2026-03-02T00:05:00+00:00,189.53,0,1,2003.95,48.44,58.83,0,,
checkout_00006,checkout,production,us-east-1,2026-03-02T00:06:00+00:00,190.95,0,0,2263.6,53.08,55.42,0,,
checkout_00007,checkout,production,us-east-1,2026-03-02T00:07:00+00:00,194.69,0,0,2349.12,52.42,56.97,0,,
checkout_00008,checkout,production,us-east-1,2026-03-02T00:08:00+00:00,218.76,0,1,2526.94,58.18,57.93,0,,
checkout_00009,checkout,production,us-east-1,2026-03-02T00:09:00+00:00,185.69,0,0,2547.43,55.26,55.67,0,,
checkout_00010,checkout,production,us-east-1,2026-03-02T00:10:00+00:00,222.58,2,0,2582.54,54.31,58.54,0,,
checkout_00011,checkout,production,us-east-1,2026-03-02T00:11:00+00:00,210.95,0,0,2629.5,54.55,56.88,0,,
checkout_00012,checkout,production,us-east-1,2026-03-02T00:12:00+00:00,177.25,0,0,2412.22,55.02,56.54,0,,
checkout_00013,checkout,production,us-east-1,2026-03-02T00:13:00+00:00,175.49,0,0,2102.25,51.53,59.4,0,,
checkout_00014,checkout,production,us-east-1,2026-03-02T00:14:00+00:00,205.87,0,0,1944.12,49.52,55.97,0,,
checkout_00015,checkout,production,us-east-1,2026-03-02T00:15:00+00:00,163.73,0,0,1363.05,46.22,55.51,0,,
checkout_00016,checkout,production,us-east-1,2026-03-02T00:16:00+00:00,203.25,1,1,1547.7,47.59,59.94,0,,
checkout_00017,checkout,production,us-east-1,2026-03-02T00:17:00+00:00,170.8,1,0,1515.97,51.74,53.49,0,,
